,index,0
454,action,2
455,conflict,2
456,jobs,2
457,abuse,2
458,anyone,2
459,game,2
460,advocates,2
461,thoughts,2
462,met,2
463,residents,2
464,ie,2
465,observing,2
466,access,2
467,details,2
468,dining,2
469,picked,2
470,comprehensive,2
471,expanded,2
472,blame,2
473,click,2
474,powered,2
475,couragein,2
476,interest,2
477,bring,2
478,futurepictwittercomcq9eoiqlcn,2
479,kay,2
480,double,2
481,delivers,2
482,started,2
483,striving,2
484,speaking,2
485,decisive,2
486,red,2
487,focus,2
488,sharing,2
489,racist,2
490,involved,2
491,honest,2
492,struggling,2
493,celebrated,2
494,ways,2
495,gettyfire,2
496,image,2
497,norms,2
498,standard,2
499,ice,2
500,victims,2
501,favor,2
502,beboldendhyde,2
503,diplomats,2
504,leaf,2
505,proving,2
506,aspire,2
507,lifetime,2
508,father,2
509,filling,2
510,500,2
511,expense,2
512,understanding,2
513,1264,2
514,confirmed,2
515,reflect,2
516,cummings,2
517,287g,2
518,synagogue,2
519,current,2
520,conditions,2
521,asking,2
522,looking,2
523,permanently,2
524,antisemitic,2
525,dictators,2
526,safeguard,2
527,abundantly,2
528,theres,2
529,spotlight,2
530,ends,2
531,1st,2
532,inflame,2
533,worldwide,2
534,efforts,2
535,killed,2
536,attempting,2
537,home,2
538,willow,2
539,amb,2
540,ky,2
541,sally,2
542,vaand,2
543,living,2
544,exchange,2
545,core,2
546,arrived,2
547,possible,2
548,pocket,2
549,run,2
550,officer,2
551,frontlines,2
552,accountability,2
553,womens,2
554,shocking,2
555,violent,2
556,enhance,2
557,complete,2
558,solve,2
559,rulings,2
560,teenager,2
561,served,2
562,11,2
563,105,2
564,rejoining,2
565,lj19pictwittercomm76zbfqml8,2
566,missing,2
567,individual,2
568,mind,2
569,deploy,2
570,disgusting,2
571,manchesters,2
572,repeal,2
573,intelligence,2
574,nh,2
575,hostility,2
576,dan,2
577,elect,2
578,trail,2
579,problems,2
580,plain,2
581,triumph,2
582,vegasstronger,2
583,absurdand,2
584,prevent,2
585,passed,2
586,rollspictwittercomxt6ysx3okb,2
587,pictwittercompihzrx11gq,2
588,sandy,2
589,honored,2
590,usnavy,2
591,principles,2
592,meaningful,2
593,reelected,2
594,signals,2
595,misquote,2
596,reported,2
597,torture,2
598,boredom,2
599,catastrophe,2
600,erase,2
601,blessingand,2
602,countrywhether,2
603,vindman,2
604,ounce,2
605,tua,2
606,halls,2
607,legislature,2
608,experiences,2
609,football,2
610,reset,2
611,invested,2
612,forgotten,2
613,montgomery,2
614,unfair,2
615,twostate,2
616,southern,2
617,fightfor15,2
618,motivated,2
619,able,2
620,gift,2
621,presidentpictwittercom2hte492eka,2
622,diverge,2
623,participating,2
624,trucks,2
625,seniors,2
626,backward,2
627,standing,2
628,eleven,2
629,differently,2
630,denied,2
631,rockingham,2
632,continued,2
633,celebration,2
634,depend,2
635,considering,2
636,additional,2
637,offered,2
638,formally,2
639,millions,2
640,appreciate,2
641,patience,2
642,hampshires,2
643,blow,2
644,unchanging,2
645,purplethursdayim,2
646,vegas,2
647,testimony,2
648,making,2
649,removedjust,2
650,emboldens,2
651,armor,2
652,quo,2
653,injustice,2
654,failure,2
655,scared,2
656,tree,2
657,ambassador,2
658,ann,2
659,correction,2
660,backpictwittercomtuowtcz0qs,2
661,headon,2
662,mass,2
663,trapped,2
664,engaging,2
665,promote,2
666,drug,2
667,tackle,2
668,lower,2
669,detailing,2
670,begins,2
671,hood,2
672,fail,2
673,teen,2
674,optimism,2
675,embarrassment,2
676,changing,2
677,abuses,2
678,read,2
679,fields,2
680,enrollment,2
681,ethiopia,2
682,matter,2
683,treats,2
684,atonement,2
685,respect,2
686,share,2
687,concert,2
688,happening,2
689,claiming,2
690,seven,2
691,calendars,2
692,large,2
693,candidate,2
694,tim,2
695,auto,2
696,rural,2
697,dreams,2
698,always,2
699,tireless,2
700,times,2
701,102nd,2
702,native,2
703,des,2
704,enter,2
705,decorah,2
706,overruling,2
707,systematically,2
708,paycheck,2
709,strongly,2
710,combating,2
711,prosperous,2
712,ady,2
713,supporting,2
714,securing,2
715,prepared,2
716,rodney,2
717,brave,2
718,claimed,2
719,seeing,2
720,pick,2
721,least,2
722,speedy,2
723,less,2
724,assad,2
725,700000,2
726,breaking,2
727,sandeep,2
728,crystalized,2
729,disturbed,2
730,city,2
731,harm,2
732,swift,2
733,treated,2
734,investments,2
735,suppression,2
736,century,2
737,masquerading,2
738,minnesotas,2
739,deserved,2
740,58,2
741,matthew,2
742,situation,2
743,far,2
744,patriot,2
745,st,2
746,religious,2
747,ride,2
748,ny,2
749,11th,2
750,actknowing,2
751,challenge,2
752,modern,2
753,altogether,2
754,polling,2
755,supreme,2
756,disorder,2
757,seeking,2
758,create,2
759,eritrea,2
760,pittsburghs,2
761,houston,2
762,saw,2
763,finished,2
764,heard,2
765,station,2
766,journalist,2
767,courageously,2
768,madam,2
769,switch,2
770,quid,2
771,night,2
772,springs,2
773,conyers,2
774,mayorelect,2
775,urgency,2
776,imagined,2
777,equalityfor,2
778,americas,2
779,betraying,2
780,faith,2
781,ms,2
782,reached,2
783,fighting,2
784,wildfires,2
785,yovanovitch,2
