,index,0
462,combat,5
463,housing,5
464,issue,5
465,lead,5
466,say,5
467,minimum,5
468,intelligence,5
469,step,5
470,party,5
471,gotta,5
472,promise,5
473,way,5
474,multiple,5
475,become,5
476,treated,5
477,learning,5
478,companies,5
479,calling,5
480,tweets,5
481,seeking,5
482,cost,5
483,joined,5
484,look,5
485,promising,5
486,8,5
487,happen,5
488,close,5
489,regardless,5
490,play,5
491,given,5
492,including,5
493,opportunity,5
494,hear,5
495,taken,5
496,means,5
497,without,5
498,brought,5
499,debate,5
500,released,5
501,failed,4
502,student,4
503,poet,4
504,wildfires,4
505,unlock,4
506,suppress,4
507,afford,4
508,bans,4
509,hey,4
510,news,4
511,marriage,4
512,protections,4
513,montgomery,4
514,incredible,4
515,inspiring,4
516,impacts,4
517,sutherland,4
518,question,4
519,carolina,4
520,human,4
521,ground,4
522,limit,4
523,recognize,4
524,efforts,4
525,killed,4
526,possible,4
527,already,4
528,725hour,4
529,county,4
530,homeless,4
531,outspoken,4
532,contempt,4
533,reflect,4
534,red,4
535,treatment,4
536,organized,4
537,lands,4
538,70000,4
539,danger,4
540,narrative,4
541,full,4
542,appoint,4
543,stigma,4
544,autumn,4
545,sandra,4
546,confession,4
547,nurses,4
548,friend,4
549,lift,4
550,incarceration,4
551,killing,4
552,tomorrow,4
553,affairs,4
554,thing,4
555,rodney,4
556,glad,4
557,tv,4
558,celia,4
559,selflessness,4
560,welcome,4
561,soon,4
562,jinping,4
563,story,4
564,eyes,4
565,army,4
566,early,4
567,hide,4
568,media,4
569,reality,4
570,kentucky,4
571,wrong,4
572,demanding,4
573,forever,4
574,leading,4
575,respect,4
576,may,4
577,heard,4
578,strong,4
579,mrs,4
580,economy,4
581,talent,4
582,impacted,4
583,latino,4
584,place,4
585,stressful,4
586,100,4
587,whether,4
588,subpoenas,4
589,calls,4
590,hamer,4
591,refuses,4
592,went,4
593,el,4
594,refusing,4
595,assault,4
596,2016,4
597,baseball,4
598,horrific,4
599,sentence,4
600,dreamers,4
601,beach,4
602,harass,4
603,hall,4
604,church,4
605,away,4
606,fellow,4
607,homes,4
608,injustice,4
609,shell,4
610,15,4
611,enforcement,4
612,city,4
613,rely,4
614,pence,4
615,highest,4
616,let,4
617,forprofit,4
618,affordable,4
619,intimidate,4
620,gunman,4
621,profits,4
622,vulnerable,4
623,private,4
624,caucus,4
625,medicare,4
626,votes,4
627,colleges,4
628,status,4
629,knowing,4
630,books,4
631,brave,4
632,washington,4
633,jr,4
634,firsthand,4
635,detention,4
636,changed,4
637,caucuses,4
638,trauma,4
639,lynching,4
640,powered,4
641,gold,4
642,bottom,4
643,californias,4
644,nativeamericanheritagemonth,4
645,san,4
646,lose,4
647,internet,4
648,goes,4
649,seek,4
650,exceptions,4
651,michael,4
652,commitment,4
653,basically,4
654,commit,4
655,less,4
656,involved,4
657,prosecute,4
658,friendly,4
659,silence,4
660,whose,4
661,ice,4
662,abortion,4
