,index,0
454,didnt,6
455,profits,6
456,pride,6
457,affect,6
458,senator,6
459,leon,6
460,senate,6
461,dignity,6
462,putting,6
463,ones,6
464,quick,6
465,trans,6
466,sharing,6
467,fossil,6
468,secretary,6
469,leader,6
470,officials,6
471,difference,6
472,personal,6
473,happy,6
474,pass,6
475,goal,6
476,g7,6
477,experts,6
478,environment,6
479,inspired,6
480,courage,6
481,competition,6
482,fired,6
483,cover,6
484,governments,6
485,close,6
486,deadline,6
487,receive,6
488,look,6
489,existential,6
490,fix,6
491,start,6
492,tech,6
493,fear,6
494,let,6
495,easy,6
496,line,6
497,kind,6
498,spent,6
499,invest,5
500,undermining,5
501,disclose,5
502,started,5
503,plans,5
504,efforts,5
505,ad,5
506,limit,5
507,attack,5
508,endorsement,5
509,lunch,5
510,disproportionately,5
511,street,5
512,contest,5
513,things,5
514,pockets,5
515,serious,5
516,drivers,5
517,fuel,5
518,form,5
519,agenda,5
520,may,5
521,meal,5
522,diplomacy,5
523,ice,5
524,organizing,5
525,meeting,5
526,tell,5
527,theres,5
528,different,5
529,boa,5
530,speaking,5
531,fill,5
532,industrial,5
533,leading,5
534,lie,5
535,living,5
536,mean,5
537,services,5
538,attacks,5
539,field,5
540,opportunities,5
541,life,5
542,summit,5
543,trying,5
544,massive,5
545,whether,5
546,couldnt,5
547,dollars,5
548,months,5
549,laws,5
550,risk,5
551,south,5
552,focus,5
553,events,5
554,investing,5
555,helped,5
556,apart,5
557,protections,5
558,example,5
559,leaving,5
560,gives,5
561,gm,5
562,greennewdeal,5
563,step,5
564,top,5
565,gave,5
566,patients,5
567,voting,5
568,thing,5
569,instead,5
570,raising,5
571,moment,5
572,billionaire,5
573,lobbying,5
574,lawmakers,5
575,code,5
576,office,5
577,seeing,5
578,sticker,5
579,dollar,5
580,criminal,5
581,entire,5
582,used,5
583,matter,5
584,spending,5
585,gets,5
586,center,5
587,nutritious,5
588,insulin,5
589,news,5
590,defeat,5
591,coming,5
592,consumer,5
593,vegas,5
594,publicschoolproud,5
595,something,5
596,puerto,5
597,ambassadors,5
598,giving,5
599,protection,5
600,allowing,5
601,attended,5
602,ability,5
603,proven,5
604,doesnt,5
605,done,5
606,consumers,5
607,increase,5
608,bringing,5
609,deal,5
610,costing,5
611,ethical,5
612,anyone,5
613,9,5
614,came,5
615,never,5
616,calls,4
617,ticket,4
618,kroger,4
619,att,4
620,amount,4
621,hoping,4
622,four,4
623,wield,4
624,uber,4
625,speech,4
626,available,4
627,fact,4
628,privacy,4
629,treatments,4
630,allies,4
631,killed,4
632,promote,4
633,success,4
634,proposal,4
635,require,4
636,users,4
637,less,4
638,constitutional,4
639,effort,4
640,woman,4
641,interest,4
642,went,4
643,gap,4
644,story,4
645,department,4
646,carry,4
647,cut,4
648,senior,4
649,term,4
650,thinner,4
651,lies,4
652,paying,4
653,number,4
654,intersex,4
